,City,Country,Latitude,Temperature,Humidity,Cloudiness,Wind Speed,APICall
52,osorno,CL,-40.57,60.8,55,75,10.29,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=osorno,CL"
53,colac,AU,-38.34,61.4,89,100,11.88,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=colac,AU"
54,rio grande,BR,-32.03,68.0,94,90,5.82,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=rio%20grande,BR"
55,tokoroa,NZ,-38.22,59.33,64,0,8.63,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tokoroa,NZ"
56,lebu,CL,-37.62,56.9,100,64,9.31,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=lebu,CL"
57,santa rosa,AR,-36.62,91.46,14,0,4.83,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=santa%20rosa,AR"
59,plettenberg bay,ZA,-34.05,66.62,93,0,18.03,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=plettenberg%20bay,ZA"
60,whakatane,NZ,-37.96,65.99,100,8,16.13,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=whakatane,NZ"
61,tandil,AR,-37.33,81.02,56,56,13.22,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=tandil,AR"
62,victor harbor,AU,-35.55,64.4,68,75,25.28,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=victor%20harbor,AU"
63,nelson bay,AU,-32.72,68.0,94,20,4.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=nelson%20bay,AU"
64,sao joao da barra,BR,-21.64,78.8,78,90,4.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=sao%20joao%20da%20barra,BR"
65,constitucion,CL,-35.33,57.62,96,0,10.09,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=constitucion,CL"
66,ahipara,NZ,-35.17,68.06,89,36,18.48,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=ahipara,NZ"
67,san antonio,CL,-33.58,64.4,82,90,5.82,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=san%20antonio,CL"
68,newcastle,AU,-32.93,68.0,94,20,4.7,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=newcastle,AU"
69,whitianga,NZ,-36.83,68.15,100,56,25.41,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=whitianga,NZ"
70,luderitz,NA,-26.65,64.4,77,0,3.36,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=luderitz,NA"
71,graaff-reinet,ZA,-32.25,53.66,93,12,2.71,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=graaff-reinet,ZA"
72,margate,ZA,-30.86,68.15,96,68,12.1,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=margate,ZA"
73,geraldton,AU,-28.77,59.0,77,0,11.41,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=geraldton,AU"
74,richards bay,ZA,-28.77,67.97,80,100,3.49,"http://api.openweathermap.org/data/2.5/weather?appid=63340cc13e489b8d48a66d2dedaaac62&units=imperial&q=richards%20bay,ZA"
